County,FIPS,Month,2.5prctile,25prctile,50prctile,75prctile,97.5prctile
Autauga County AL,01001,3,NaN,NaN,NaN,NaN,NaN
Autauga County AL,01001,4,0.0658,0.1076,0.1475,0.2097,0.5396
Autauga County AL,01001,5,0.0935,0.1275,0.1520,0.1864,0.3154
Autauga County AL,01001,6,0.1106,0.1429,0.1656,0.1946,0.2848
Autauga County AL,01001,7,0.1164,0.1497,0.1727,0.2018,0.2968
Autauga County AL,01001,8,0.1148,0.1510,0.1783,0.2122,0.3265
Autauga County AL,01001,9,0.1208,0.1595,0.1876,0.2227,0.3278
Autauga County AL,01001,10,0.1254,0.1568,0.1806,0.2087,0.2900
Autauga County AL,01001,11,0.1330,0.1601,0.1788,0.2024,0.2637
Autauga County AL,01001,12,0.1543,0.1792,0.1971,0.2167,0.2712
Baldwin County AL,01003,3,0.0735,0.0984,0.1179,0.1488,0.2406
Baldwin County AL,01003,4,0.0633,0.0972,0.1266,0.1707,0.3984
Baldwin County AL,01003,5,0.0808,0.1227,0.1603,0.2109,0.3895
Baldwin County AL,01003,6,0.1549,0.1889,0.2110,0.2368,0.3221
Baldwin County AL,01003,7,0.1762,0.2166,0.2407,0.2709,0.3509
Baldwin County AL,01003,8,0.1689,0.2180,0.2492,0.2855,0.3774
Baldwin County AL,01003,9,0.1825,0.2336,0.2669,0.3119,0.4121
Baldwin County AL,01003,10,0.2040,0.2516,0.2819,0.3209,0.4081
Baldwin County AL,01003,11,0.2298,0.2697,0.2914,0.3174,0.3798
Baldwin County AL,01003,12,0.2240,0.2704,0.2940,0.3203,0.3841
Barbour County AL,01005,3,NaN,NaN,NaN,NaN,NaN
Barbour County AL,01005,4,0.0659,0.1032,0.1365,0.1934,0.4359
Barbour County AL,01005,5,0.0924,0.1277,0.1552,0.1916,0.3272
Barbour County AL,01005,6,0.0968,0.1383,0.1699,0.2152,0.3939
Barbour County AL,01005,7,0.1107,0.1436,0.1699,0.2033,0.3240
Barbour County AL,01005,8,0.0945,0.1435,0.1846,0.2423,0.4788
Barbour County AL,01005,9,0.1039,0.1471,0.1808,0.2290,0.3762
Barbour County AL,01005,10,0.1046,0.1489,0.1822,0.2288,0.4106
Barbour County AL,01005,11,0.1026,0.1497,0.1883,0.2457,0.4635
Barbour County AL,01005,12,0.1436,0.1839,0.2120,0.2474,0.3448
Bibb County AL,01007,3,NaN,NaN,NaN,NaN,NaN
Bibb County AL,01007,4,0.0676,0.1339,0.2166,0.4137,1.6820
Bibb County AL,01007,5,0.0746,0.1361,0.2088,0.3441,1.1307
Bibb County AL,01007,6,0.0951,0.1449,0.1817,0.2341,0.4221
Bibb County AL,01007,7,0.1091,0.1490,0.1806,0.2228,0.3552
Bibb County AL,01007,8,0.1013,0.1487,0.1927,0.2584,0.6048
Bibb County AL,01007,9,0.1071,0.1585,0.2037,0.2651,0.4985
Bibb County AL,01007,10,0.1246,0.1684,0.2020,0.2475,0.3881
Bibb County AL,01007,11,0.1325,0.1699,0.1963,0.2306,0.3332
Bibb County AL,01007,12,0.1340,0.1637,0.1840,0.2079,0.2646
Blount County AL,01009,3,0.0511,0.0943,0.1507,0.2781,0.7227
Blount County AL,01009,4,0.0568,0.0987,0.1493,0.2523,0.7917
Blount County AL,01009,5,0.0674,0.1247,0.1846,0.2611,0.6433
Blount County AL,01009,6,0.1075,0.1468,0.1767,0.2171,0.3642
Blount County AL,01009,7,0.1293,0.1626,0.1880,0.2205,0.3290
Blount County AL,01009,8,0.1585,0.2111,0.2482,0.2987,0.4439
Blount County AL,01009,9,0.1359,0.1954,0.2442,0.3150,0.5726
Blount County AL,01009,10,0.1617,0.2058,0.2357,0.2730,0.3701
Blount County AL,01009,11,0.1828,0.2268,0.2539,0.2844,0.3604
Blount County AL,01009,12,0.1916,0.2362,0.2644,0.2992,0.3717
Bullock County AL,01011,3,NaN,NaN,NaN,NaN,NaN
Bullock County AL,01011,4,NaN,NaN,NaN,NaN,NaN
Bullock County AL,01011,5,0.1508,0.2057,0.2472,0.2996,0.4526
Bullock County AL,01011,6,0.1101,0.1803,0.2516,0.3778,1.0992
Bullock County AL,01011,7,0.1037,0.1633,0.2297,0.3588,0.8623
Bullock County AL,01011,8,0.1231,0.1903,0.2531,0.3536,0.7593
Bullock County AL,01011,9,0.0825,0.1738,0.2876,0.6927,7.6200
Bullock County AL,01011,10,0.0911,0.1729,0.2771,0.7152,28.9600
Bullock County AL,01011,11,0.1002,0.1815,0.2759,0.5205,2.9815
Bullock County AL,01011,12,0.1622,0.2217,0.2693,0.3276,0.5122
Butler County AL,01013,3,NaN,NaN,NaN,NaN,NaN
Butler County AL,01013,4,0.1098,0.1419,0.1680,0.2005,0.2922
Butler County AL,01013,5,0.1098,0.1471,0.1788,0.2230,0.3762
Butler County AL,01013,6,0.1007,0.1486,0.1873,0.2452,0.4653
Butler County AL,01013,7,0.0990,0.1476,0.1856,0.2388,0.4248
Butler County AL,01013,8,0.0912,0.1390,0.1800,0.2476,0.5438
Butler County AL,01013,9,0.0690,0.1229,0.1789,0.3014,1.0812
Butler County AL,01013,10,0.1072,0.1655,0.2178,0.3029,0.6379
Butler County AL,01013,11,0.1310,0.1800,0.2173,0.2705,0.4595
Butler County AL,01013,12,0.1421,0.1836,0.2142,0.2532,0.3649
Calhoun County AL,01015,3,0.0898,0.1246,0.1496,0.1823,0.2779
Calhoun County AL,01015,4,0.0607,0.1075,0.1603,0.2462,0.5797
Calhoun County AL,01015,5,0.0742,0.1201,0.1629,0.2333,0.6201
Calhoun County AL,01015,6,0.1229,0.1557,0.1784,0.2059,0.2826
Calhoun County AL,01015,7,0.1351,0.1668,0.1888,0.2164,0.2976
Calhoun County AL,01015,8,0.1599,0.1995,0.2257,0.2591,0.3460
Calhoun County AL,01015,9,0.1591,0.2007,0.2308,0.2684,0.3752
Calhoun County AL,01015,10,0.1726,0.2099,0.2346,0.2637,0.3446
Calhoun County AL,01015,11,0.1767,0.2089,0.2292,0.2526,0.3052
Calhoun County AL,01015,12,0.1766,0.2135,0.2360,0.2620,0.3269
