County,FIPS,Population
Autauga County AL,01001,55869
Baldwin County AL,01003,223234
Barbour County AL,01005,24686
Bibb County AL,01007,22394
Blount County AL,01009,57826
Bullock County AL,01011,10101
Butler County AL,01013,19448
Calhoun County AL,01015,113605
Chambers County AL,01017,33254
Cherokee County AL,01019,26196
Chilton County AL,01021,44428
Choctaw County AL,01023,12589
Clarke County AL,01025,23622
Clay County AL,01027,13235
Cleburne County AL,01029,14910
Coffee County AL,01031,52342
Colbert County AL,01033,55241
Conecuh County AL,01035,12067
Coosa County AL,01037,10663
Covington County AL,01039,37049
Crenshaw County AL,01041,13772
Cullman County AL,01043,83768
Dale County AL,01045,49172
Dallas County AL,01047,37196
DeKalb County AL,01049,71513
Elmore County AL,01051,81209
Escambia County AL,01053,36633
Etowah County AL,01055,102268
Fayette County AL,01057,16302
Franklin County AL,01059,31362
Geneva County AL,01061,26271
Greene County AL,01063,8111
Hale County AL,01065,14651
Henry County AL,01067,17205
Houston County AL,01069,105882
Jackson County AL,01071,51626
Jefferson County AL,01073,658573
Lamar County AL,01075,13805
Lauderdale County AL,01077,92729
Lawrence County AL,01079,32924
Lee County AL,01081,164542
Limestone County AL,01083,98915
Lowndes County AL,01085,9726
Macon County AL,01087,18068
Madison County AL,01089,372909
Marengo County AL,01091,18863
Marion County AL,01093,29709
Marshall County AL,01095,96774
Mobile County AL,01097,413210
Monroe County AL,01099,20733
Montgomery County AL,01101,226486
Morgan County AL,01103,119679
Perry County AL,01105,8923
Pickens County AL,01107,19930
Pike County AL,01109,33114
Randolph County AL,01111,22722
Russell County AL,01113,57961
St. Clair County AL,01115,89512
Shelby County AL,01117,217702
Sumter County AL,01119,12427
Talladega County AL,01121,79978
Tallapoosa County AL,01123,40367
Tuscaloosa County AL,01125,209355
Walker County AL,01127,63521
Washington County AL,01129,16326
Wilcox County AL,01131,10373
Winston County AL,01133,23629
Aleutians East Borough AK,02013,3337
Aleutians West Census Area AK,02016,5634
Anchorage Municipality AK,02020,288000
Bethel Census Area AK,02050,18386
Bristol Bay Borough AK,02060,836
Denali Borough AK,02068,2097
Dillingham Census Area AK,02070,4916
Fairbanks North Star Borough AK,02090,96849
Haines Borough AK,02100,2530
Hoonah-Angoon Census Area AK,02105,2148
Juneau City and Borough AK,02110,31974
Kenai Peninsula Borough AK,02122,58708
Ketchikan Gateway Borough AK,02130,13901
Kodiak Island Borough AK,02150,12998
Kusilvak Census Area AK,02158,8314
Lake and Peninsula Borough AK,02164,1592
Matanuska-Susitna Borough AK,02170,108317
Nome Census Area AK,02180,10004
North Slope Borough AK,02185,9832
Northwest Arctic Borough AK,02188,7621
Petersburg Borough AK,02195,3266
Prince of Wales-Hyder Census Area AK,02198,6203
Sitka City and Borough AK,02220,8493
Skagway Municipality AK,02230,1183
Southeast Fairbanks Census Area AK,02240,6893
Valdez-Cordova Census Area AK,02261,9202
Wrangell City and Borough AK,02275,2502
Yakutat City and Borough AK,02282,579
Yukon-Koyukuk Census Area AK,02290,5230
Apache County AZ,04001,71887
Cochise County AZ,04003,125922
Coconino County AZ,04005,143476
Gila County AZ,04007,54018
Graham County AZ,04009,38837
Greenlee County AZ,04011,9498
La Paz County AZ,04012,21108
Maricopa County AZ,04013,4485414
Mohave County AZ,04015,212181
Navajo County AZ,04017,110924
Pima County AZ,04019,1047279
Pinal County AZ,04021,462789
Santa Cruz County AZ,04023,46498
Yavapai County AZ,04025,235099
Yuma County AZ,04027,213787
Arkansas County AR,05001,17486
Ashley County AR,05003,19657
Baxter County AR,05005,41932
Benton County AR,05007,279141
Boone County AR,05009,37432
Bradley County AR,05011,10763
Calhoun County AR,05013,5189
Carroll County AR,05015,28380
Chicot County AR,05017,10118
Clark County AR,05019,22320
Clay County AR,05021,14551
Cleburne County AR,05023,24919
Cleveland County AR,05025,7956
Columbia County AR,05027,23457
Conway County AR,05029,20846
Craighead County AR,05031,110332
Crawford County AR,05033,63257
Crittenden County AR,05035,47955
Cross County AR,05037,16419
Dallas County AR,05039,7009
Desha County AR,05041,11361
Drew County AR,05043,18219
Faulkner County AR,05045,126007
Franklin County AR,05047,17715
Fulton County AR,05049,12477
Garland County AR,05051,99386
Grant County AR,05053,18265
Greene County AR,05055,45325
Hempstead County AR,05057,21532
Hot Spring County AR,05059,33771
Howard County AR,05061,13202
Independence County AR,05063,37825
Izard County AR,05065,13629
Jackson County AR,05067,16719
Jefferson County AR,05069,66824
Johnson County AR,05071,26578
Lafayette County AR,05073,6624
Lawrence County AR,05075,16406
Lee County AR,05077,8857
Lincoln County AR,05079,13024
Little River County AR,05081,12259
Logan County AR,05083,21466
Lonoke County AR,05085,73309
Madison County AR,05087,16576
Marion County AR,05089,16694
Miller County AR,05091,43257
Mississippi County AR,05093,40651
Monroe County AR,05095,6701
Montgomery County AR,05097,8986
Nevada County AR,05099,8252
Newton County AR,05101,7753
Ouachita County AR,05103,23382
Perry County AR,05105,10455
Phillips County AR,05107,17782
Pike County AR,05109,10718
Poinsett County AR,05111,23528
Polk County AR,05113,19964
Pope County AR,05115,64072
Prairie County AR,05117,8062
Pulaski County AR,05119,391911
Randolph County AR,05121,17958
St. Francis County AR,05123,24994
Saline County AR,05125,122437
Scott County AR,05127,10281
Searcy County AR,05129,7881
Sebastian County AR,05131,127827
Sevier County AR,05133,17007
Sharp County AR,05135,17442
Stone County AR,05137,12506
Union County AR,05139,38682
Van Buren County AR,05141,16545
Washington County AR,05143,239187
White County AR,05145,78753
Woodruff County AR,05147,6320
Yell County AR,05149,21341
Alameda County CA,06001,1671329
Alpine County CA,06003,1129
Amador County CA,06005,39752
Butte County CA,06007,219186
Calaveras County CA,06009,45905
Colusa County CA,06011,21547
Contra Costa County CA,06013,1153526
Del Norte County CA,06015,27812
El Dorado County CA,06017,192843
Fresno County CA,06019,999101
Glenn County CA,06021,28393
Humboldt County CA,06023,135558
Imperial County CA,06025,181215
Inyo County CA,06027,18039
Kern County CA,06029,900202
Kings County CA,06031,152940
Lake County CA,06033,64386
Lassen County CA,06035,30573
Los Angeles County CA,06037,10039107
Madera County CA,06039,157327
Marin County CA,06041,258826
Mariposa County CA,06043,17203
Mendocino County CA,06045,86749
Merced County CA,06047,277680
Modoc County CA,06049,8841
Mono County CA,06051,14444
Monterey County CA,06053,434061
Napa County CA,06055,137744
Nevada County CA,06057,99755
Orange County CA,06059,3175692
Placer County CA,06061,398329
Plumas County CA,06063,18807
Riverside County CA,06065,2470546
Sacramento County CA,06067,1552058
San Benito County CA,06069,62808
San Bernardino County CA,06071,2180085
San Diego County CA,06073,3338330
San Francisco County CA,06075,881549
San Joaquin County CA,06077,762148
San Luis Obispo County CA,06079,283111
San Mateo County CA,06081,766573
Santa Barbara County CA,06083,446499
Santa Clara County CA,06085,1927852
Santa Cruz County CA,06087,273213
Shasta County CA,06089,180080
Sierra County CA,06091,3005
Siskiyou County CA,06093,43539
Solano County CA,06095,447643
Sonoma County CA,06097,494336
Stanislaus County CA,06099,550660
Sutter County CA,06101,96971
Tehama County CA,06103,65084
Trinity County CA,06105,12285
Tulare County CA,06107,466195
Tuolumne County CA,06109,54478
Ventura County CA,06111,846006
Yolo County CA,06113,220500
Yuba County CA,06115,78668
Adams County CO,08001,517421
Alamosa County CO,08003,16233
Arapahoe County CO,08005,656590
Archuleta County CO,08007,14029
Baca County CO,08009,3581
Bent County CO,08011,5577
Boulder County CO,08013,326196
Broomfield County CO,08014,70465
Chaffee County CO,08015,20356
Cheyenne County CO,08017,1831
Clear Creek County CO,08019,9700
Conejos County CO,08021,8205
Costilla County CO,08023,3887
Crowley County CO,08025,6061
Custer County CO,08027,5068
Delta County CO,08029,31162
Denver County CO,08031,727211
Dolores County CO,08033,2055
Douglas County CO,08035,351154
Eagle County CO,08037,55127
Elbert County CO,08039,26729
El Paso County CO,08041,720403
Fremont County CO,08043,47839
Garfield County CO,08045,60061
Gilpin County CO,08047,6243
Grand County CO,08049,15734
Gunnison County CO,08051,17462
Hinsdale County CO,08053,820
Huerfano County CO,08055,6897
Jackson County CO,08057,1392
Jefferson County CO,08059,582881
Kiowa County CO,08061,1406
Kit Carson County CO,08063,7097
Lake County CO,08065,8127
La Plata County CO,08067,56221
Larimer County CO,08069,356899
Las Animas County CO,08071,14506
Lincoln County CO,08073,5701
Logan County CO,08075,22409
Mesa County CO,08077,154210
Mineral County CO,08079,769
Moffat County CO,08081,13283
Montezuma County CO,08083,26183
